site,name,country,lon,lat,elev,IGBP,MAP,MAT,tier1,tier2,url
US-WPT,Winous Point North Marsh,USA,-82.996157,41.464639,175,WET,849,10.1,"",2011-2013,http://sites.fluxdata.org/US-WPT/
US-Whs,Walnut Gulch Lucky Hills Shrub,USA,-110.0522,31.7438,1370,OSH,320,17.6,2007-2014,2007-2014,http://sites.fluxdata.org/US-Whs/
US-Wi0,Young red pine (YRP),USA,-91.0814440,46.6187780,349,ENF,"","",2002-2002,2002-2002,http://sites.fluxdata.org/US-Wi0/
US-Wi1,Intermediate hardwood (IHW),USA,-91.2329440,46.7304720,352,DBF,"","","",2003-2003,http://sites.fluxdata.org/US-Wi1/
US-Wi2,Intermediate red pine (IRP),USA,-91.1528330,46.6868890,395,ENF,"","","",2003-2003,http://sites.fluxdata.org/US-Wi2/
US-Wi3,Mature hardwood (MHW),USA,-91.0986670,46.6347220,411,DBF,"","",2002-2004,2002-2004,http://sites.fluxdata.org/US-Wi3/
US-Wi4,Mature red pine (MRP),USA,-91.1662500,46.7393330,352,ENF,"","",2002-2005,2002-2005,http://sites.fluxdata.org/US-Wi4/
US-Wi5,Mixed young jack pine (MYJP),USA,-91.0858060,46.6530830,353,ENF,"","","",2004-2004,http://sites.fluxdata.org/US-Wi5/
US-Wi6,Pine barrens #1 (PB1),USA,-91.2982220,46.6248890,371,OSH,"","",2002-2003,2002-2003,http://sites.fluxdata.org/US-Wi6/
US-Wi7,Red pine clearcut (RPCC),USA,-91.0692780,46.6491110,335,OSH,"","","",2005-2005,http://sites.fluxdata.org/US-Wi7/
US-Wi8,Young hardwood clearcut (YHW),USA,-91.2524170,46.7223330,348,DBF,"","","",2002-2002,http://sites.fluxdata.org/US-Wi8/
US-Wi9,Young Jack pine (YJP),USA,-91.0814440,46.6187780,350,ENF,"","",2004-2005,2004-2005,http://sites.fluxdata.org/US-Wi9/
US-Wkg,Walnut Gulch Kendall Grasslands,USA,-109.9419,31.7365,1531,GRA,407,15.64,2004-2014,2004-2014,http://sites.fluxdata.org/US-Wkg/
ZA-Kru,Skukuza,South Africa,31.4969,-25.0197,359,SAV,547,21.9,2000-2010,2000-2013,http://sites.fluxdata.org/ZA-Kru/
ZM-Mon,Mongu,Zambia,23.25278,-15.43778,1053,DBF,945,25,2000-2009,2000-2009,http://sites.fluxdata.org/ZM-Mon/
